locality,lat,lon,aqi,fetched_at
Shivajinagar Pune,18.5314,73.8446,88,2026-09-17T06:00:00+00:00
Katraj Pune,18.4489,73.8587,62,2026-09-17T06:00:00+00:00
Hadapsar Pune,18.5089,73.9259,115,2026-09-17T06:00:00+00:00
Pashan Pune,18.5412,73.7925,54,2026-09-17T06:00:00+00:00
Bhosari Pune,18.6274,73.8465,142,2026-09-17T06:00:00+00:00
Lohegaon Pune,18.5822,73.9197,95,2026-09-17T06:00:00+00:00
Shivajinagar Pune,18.5314,73.8446,92,2026-09-18T06:00:00+00:00
Katraj Pune,18.4489,73.8587,58,2026-09-18T06:00:00+00:00
Hadapsar Pune,18.5089,73.9259,124,2026-09-18T06:00:00+00:00
Pashan Pune,18.5412,73.7925,48,2026-09-18T06:00:00+00:00
Bhosari Pune,18.6274,73.8465,155,2026-09-18T06:00:00+00:00
Lohegaon Pune,18.5822,73.9197,102,2026-09-18T06:00:00+00:00
