locality,lat,lon,decibel,date_recorded,time_of_day,notes
Shivajinagar Bus Stand,18.5314,73.8446,82,2026-09-17,Morning,Heavy bus and auto-rickshaw traffic
Katraj Lake Garden,18.4489,73.8587,49,2026-09-17,Morning,Calm area inside park
Hadapsar Gadital Chowk,18.5089,73.9259,85,2026-09-17,Evening,High commercial traffic and honking
Pashan Nature Trail,18.5412,73.7925,45,2026-09-17,Morning,Quiet residential and bird sanctuary area
Bhosari Industrial Area,18.6274,73.8465,88,2026-09-17,Afternoon,Industrial machinery and trucks
Lohegaon Airport Road,18.5822,73.9197,76,2026-09-17,Evening,Airport transit traffic
badlapur,18.5204,73.8567,65.0,2026-09-19,Morning,
mumbai,18.5204,73.8567,65.0,2026-09-19,Morning,
ambernath,18.5204,73.8567,65.0,2026-09-19,Morning,
ambarnath,18.5204,73.8567,65.0,2026-09-19,Morning,
delhi,18.5204,73.8567,65.0,2026-09-19,Morning,
delhi,18.5204,73.8567,65.0,2026-09-19,Morning,
surat,18.5204,73.8567,65.0,2026-09-19,Morning,
delhi,18.5204,73.8567,68.0,2026-09-19,Morning,
